Round,Total Timesteps,Win Rate as Black,Win Rate as White,Overall Win Rate
A_Round_53,2768896,0.1400,0.1800,0.1600,0.9132
A_Round_54,2822144,0.1600,0.1700,0.1650,0.8797
A_Round_55,2875392,0.2100,0.2400,0.2250,0.8784
A_Round_56,2928640,0.1800,0.1500,0.1650,0.8847
A_Round_57,2981888,0.2900,0.1800,0.2350,0.9022
A_Round_58,3035136,0.1800,0.1200,0.1500,0.8695
A_Round_59,3088384,0.1600,0.2300,0.1950,0.8819
A_Round_60,3141632,0.1200,0.1500,0.1350,0.8861
A_Round_61,3194880,0.1300,0.1400,0.1350,0.8489
A_Round_62,3248128,0.1800,0.1100,0.1450,0.8750
